Visualnest|Substance will transform your paper sketches into interactive models using phone's built-in camera.Everyday we are surrounded by digital technology like computers and mobile devices. But even in 2012, hand sketching and drawing is the easiest and the fastest way to iterate over concepts. We use paper to share, work and collaborate. In...
VisualXcript|VisualXcript has developed an HTML5 engine. On top of it, VisualXcript allows building amazing HTML5 animated mobile websites on the iPhone and iPad, without writing a single line of code.
Visual Revenue|Founded in 2010, Visual Revenue, Inc. builds a real-time predictive analytics platform that makes human editors the most powerful force in today’s data-driven newsrooms. This helps media organizations to distinguish their brands. The Visual Revenue Platform is the only real-time analytics solution that is designed specifically to enhance the...
Visual Factory|Visual Factory develops, designs, and deploys IT projects for its clients.Visual Factory develops POS systems that feature coupon creation, segments definition, campaign delivery, promotion delivery, reports and analytics, coupon activation, mobile ordering, promotion view, notifications reception, and location search. Furthermore, it offers POS...
Visible.vc|Visible gives you the power to tell the story around your key performance data. Visualize your most important metrics and keep all of your stakeholders engaged all from a single platform.
Virtual Incision Corp (VIC)|Virtual Incision is the pioneer of in vivo mini-robot surgery, enabling minimally-invasive colon resection and other abdominal procedures. Colorectal cancer is the second-deadliest form of the disease, and along with conditions like Diverticulitis and Crohn’s, treatment often requires a colectomy, almost 400,000 of which are performed each year in...
Virgance|Virgance is a for-profit, web 2.0 company that takes new activism ideas and uses the power of online social networks to scale each idea into a large-scale, citizen-powered global campaign in order to improve the world.Virgance plans to build social web applications on top of a platform that auto-deploys our apps to Facebook, MySpace and other...
Vinsula|Vinsula, Inc. operates as a software development company that specializes in intrusion detection and cyber-threat security solutions. The company was incorporated in 2011 and is based in Seattle, Washington.
Virgance|Virgance is a for-profit, web 2.0 company that takes new activism ideas and uses the power of online social networks to scale each idea into a large-scale, citizen-powered global campaign in order to improve the world.Virgance plans to build social web applications on top of a platform that auto-deploys our apps to Facebook, MySpace and other...
Vinsula|Vinsula, Inc. operates as a software development company that specializes in intrusion detection and cyber-threat security solutions. The company was incorporated in 2011 and is based in Seattle, Washington.
Vinomis Laboratories|Vinomis Laboratories, LLC manufactures and supplies nutraceutical products based upon resveratrol, red wine grape extracts, and concentrated polyphenols. It offers Vindure 900, a resveratrol supplement tablet. Vinomis Laboratories, LLC was founded in 2009 and is based in Sewickley, Pennsylvania.
Vimagino|Vimagino is revolutioning the customer experience on the web by allowing websites to have emotionally intelligent helpful agents for  sales and support.  To enable this vimagino brought together semantic search, a real time emotion processing engine to tag and direct conversations and a truly unique way of using chat paradigm to build context.
Villgro Innovation Marketing|IMPL has created and proved a unique distribution model which reaches inside villages through VLEs (Village Level Entrepreneurs). The VLE model has created viable businesses even in smaller villages. The process of participative product testing and evaluation by end users in actual field conditions makes adoption quick and cost effective. Focusing...
Viking Cold Solutions|Viking Cold Solutions, Inc. was incorporated in 2007 and is based in Sugar Land, Texas.
Vigo|Staying alert all the time is tough. Vigo can help. Vigo tracks patterns in your blinks and your motion in order to quantify your alertness in real time. With this data, Vigo can nudge you when you're not your best and help you see patterns of when you're most and least alert so you can manage your energy more effectively.
Videoplaza|Our mission is to empower broadcasters and video publishers to build profitable and sustainable businesses in the internet-delivered TV world. More than 50% of the broadcasters in Europe run their advertising businesses on Karbon. Our technology, built for video, is device agnostic and empowers publishers to trade across sales channels,...
Videolicious|Videolicious provides video creation solutions that enable the creation of professional-quality videos for business communications.
Videoflow|Videoflow helps videobloggers to earn revenue by publishing videos.
Videobot Limited|Videobot Limited is headquartered in Ireland. It's been founded by an experience team of experts in video archiving, encoding, interfaces and social media. Videobot's SaaS Enterprise Video Publishing Platform, VBOT provides:- high productivity gains- unparalleled return on investment- easy customisation, scalability and...
Beevibes|Beevibes has developed a service that recommends branded content to Internet users. We offer advertisers an engaging new way to deliver impacting brand campaigns on a premium publisher network. Our semantic targeting tech, combined with an exclusive in-content format delivers above standard visibility and engagement results.
Viddyad|Viddyad's Technology Platform empowers brands and businesses to create customizable video content for a multiplicity of screens from a centralized brand controlled dashboard.Named as ‘one to watch’ by the Wall Street Journal and partnered with Getty Images, Viddyad is the world's first fully automated video content creation and...
Vidapp|Our founder Veysel came across with this thought for the first time working in his super-resolution imaging lab, and has brought it to life with those sharing the vision along the way. If you want to hear more about our story, shoot a short message to our founder Veysel at veysel@vidapp.co.
VidSchool|VidSchool.com is a Dublin, Ireland based company that allows teachers to sell videos of their courses. They have also an option where the teacher can share a PowerPoint presentation related to the video, a little multiple choice test at the end of the video and a FAQ of the topic, so the teacher does not need to answer all upcoming similar...
Vibrant Corporation|Vibrant Corporation develops and commercializes process compensated resonance testing (PCRT) technology for the aerospace and power generation industries. Its PCRT is a non-destructive testing technology that determines if a component is structurally sound and fit for service. The company offers its technology for in-process and final inspection...
Vestorly|"
Vestorly is a deep-reaching cognitive content marketing platform leveraging artificial intelligence to curate content from the Web on behalf of marketers. The platform continually learns about users and their audience to curate and deliver content through the Vestorly email platform, via social media, onto web pages, or via the Vestorly API."
Vessix|Vessix, LLC develops technology for consolidating POS, CRM and reporting. The company was incorporated in 2011 and is based in Denver, Colorado.
Vessel|Mobile app publishers spend a tremendous amount of effort driving downloads, but root cause analysis regarding user engagement and retention is often muddled.To solve this challenge, Vessel has created an advanced and powerful WYSIWIG platform that empowers product managers/marketers to rapidly build and launch experiments (no coding...
Vessel|Vessel is building a next generation video platform.Founded by Jason Kilar (Founding CEO of Hulu and former Senior Vice President at Amazon) and Richard Tom (Former CTO of Hulu) we are backed by Benchmark, Greylock Partners, and Bezos Expeditions (the personal investment company of Jeff Bezos.)
Vertical Point Solutions|"At VerticalPoint, we build vertical industry focused solutions on our ""KubeSpace"" cloud platform. At the base of our technology stack, we leverage Microsoft SharePoint, the best enterprise document management system in the market today.  We offer business users a simple and robust platform for managing high value, high risk documents and..."
Verteego (Emerald Vision)|Verteego is a descriptive analytics and predictive technology vendor that makes turning Data into sound business value real. Verteego designs and provides smart data management solutions targeted to solve daily operational problems for our client organizations. We are also the makers of the Verteego Data Suite, a best-of-breed free and open...
VersionEye|Notification System for Software Libraries Follow your libraries and get notified about new versions. Stay up-to-date! Over 200K Java, Ruby, Python, PHP, Clojure & Node.JS Libraries. VersionEye can monitor your Software Project on GitHub and notify you about outdated dependencies. This tool helps you to stay up-to-date. Never miss a...
Vero Analytics|Vero allows users to focus on the business of data instead of the engineering of data.Tell Vero where your data lives, how to slice and dice it, and Vero will do the rest. Our underlying knowledge graph engine can easily build complex datasets from any database with little effort. Vero is the perfect companion tool to your favorite...
Veristorm|Veristorm brings in industry's first Hadoop Big Data management platform for System z Linux®, and it delivers the superior security, performance, reliability and TCO you've come to expect on System z®. Special data connectors eliminate offloading costs and risks for DB2® and others.  Veristorm's Big Data platform allows organizations...
Verisim|Verisim provide unique software simulation solutions for Training, Prototyping and Customer Demonstration across the project lifecycle.Verisim is best placed to assist you if;A new application needs to be delivered on time, on budget and on spec; Employees need to be trained on an application as early, safely and efficiently as possible;...
Verisante Technology|The Verisante Aura™ for skin cancer detection and the Verisante Core™ series for lung, colon and cervical cancer detection utilize a proprietary cancer detection platform while the operating software and probe technology are unique to each device. The cancer detection platform was developed by the BC Cancer Agency and the University of British...
Verious|Verious is the world's first marketplace for mobile app components, enabling developers to license pre-built, pre-tested libraries to accelerate time-to-market, access 3rd party content and increase in-app monetization.  Verious serves as a lens on the Mobile App Development category so mobile app developers can find all the resources they...
Verimatrix|Verimatrix develops software-based content security and revenue enhancement solutions for pay-TV networks.The company also offers solutions for cable, hybrid and mobile TV networks, along with a secure PC player and forensic watermarking.
VeriShow|VeriShow is an advanced add-on customer support Saas collaboration platform. It enables website owners to easily integrate text, voice and video communication as well as document sharing and collaborative working functionality into their websites to assist in sales, reduced overhead and increased efficiency through live, real time interaction.
Venuu|"Venuu, the ""Airbnb for Event Spaces""​, makes it easy to find a perfect space for parties, weddings, seminars, meetings and other events. To venue owners we provide a cost-effective sales and marketing channel to find customers.Market leader in the Nordics:
https://venuu.fi 
https://venuu.se..."
Venture Catalysts|Venture Catalysts is a company focused on commercialization of technologies through entrepreneurship. By supporting visionary researchers and entrepreneurs releasing the full potential of their technologies, the company acts as a catalyst on the development of new technology–based ventures
Peerio|Work with confidence!  Peerio unifies all team communication into a private and productive workspace. Real time collaboration and secure cloud storage. Always with true end-to-end encryption.Founded in 2014, Peerio envisions privacy for everyone. We provide an exceptionally simple and secure messaging, file sharing, and cloud storage platform...
Vendor Registry|They are a small company, but big on passion and drive. They founded Vendor Registry with the simple purpose of making it easier to do business with your state and local governments and institutions. Too much time is spent filling out repetitive paperwork and too little time is spent taking advantage of new revenue opportunities. Businesses,...
Velotton|Velotton is a fun, community-based app for cycle lovers from cycle lovers. Track your rides, explore elevation profiles and find other cyclists. Main features: * Record your rides * Get your live stats * View a detailed history of your rides * Explore elevation profiles * Find routes * Discover community rides * No...
Vela Systems|Vela Systems software automates the execution and oversight of field activities on construction and capital projects for contractors, architects, engineers and owners. Instead of carrying a field notebook and paper plans or specs, jobsite users work with Vela software on mobile computers to electronically access documents and to complete...
Veenome|Veenome automatically translates videos into data at a very large scale to help Ad Networks and Publishers lift their CPMs through targeting, reduce fraud through viewability detection and eliminate brand safety/objectionable content concerns.Specifically the data that we create from these videos includes:IAB Category, IAB Subcategory,...
Veam Video|Veam provides customizable video recording and video conferencing using a webcam, which can be implemented on any website and multiple devices.Via an automated interview system, interviewees have to answer questions which appear in screen. The webcam records them answering. An easy way to leave a first impression for video pitches, job...
VastPark|VastPark world class skill set include capabilities in programming, design, script writing, 3D modeling, animation, texturing, sound and all the highly technical and artistic skills required to pull together the complexity of a virtual world capable of being a rich unique and easy to navigate experience for users.VastPark utilizes state of the...
Varada Innovations|Varada Innovations develops surgical tools and implantable sensors that enable personalization of interventional procedures, such as soft tissue reconstructions and rehabilitation, significantly improving patient outcomes and reducing costs.
Vantage|Vantage Analytics offers today’s leading online business managers a collection of powerful predictive analytics and data mining modules, served up in an accessible interface that makes data excitingly easy to work with.To make it easy to import and export your data, they have integrated connections into the most common online business services:...
Vaioni|Vaioni helps fast paced, 21century businesses build mission critical connectivity, telecoms and cloud services over our own Carrier Class, superfast network. We understand the importance of your network infrastructure and that it dictates how fast you evolve, how well you serve your employees and customers and we help you contain that competitive...
Vaccibody|Vaccibody AS was established 2007 as a spin-off from the University of Oslo and Oslo University hospital. The Vaccibody technology was conceived in the laboratory of Professor Bjarne Bogen, one of Europe’s leading immunologists. With Professor Inger Sandlie and Agnete Fredriksen he invented the basic construct of a novel vaccine molecule, and...
VMO Systems|VMO Systems Inc. is a mobile server and content delivery technology company founded in February 2012 and based in Boulder, Colorado. VMO Systems is developing a handheld MicroServer with removable, high-capacity data modules for the defense, government and commercial markets.
VISup|VISup designs and develops digital services for companies interested in creating valuable experiences more over creating knowledge through interactive discovery.VISup uses both Information Visualizations and User Experience Design tools and methodologies in order to understand end-users' needs and provide valuable and useful insights....
VISUALPLANT|VISUALPLANT™ is a cloud-based platform for companies to encode, store, manage and publish video, images and audio to Internet venues on the Web, Mobile and Internet TV.
VHX|VHX is a video distribution platform built for everyone. We empower creators to sell their work from their own websites, directly to their fans.Everything that used to be sold on DVD can be sold on VHX. We have helped publishers sell films, TV shows, comedy specials, live concert footage, lectures, web series, fitness, education, and more. Our...
VENNCOMM|Human contact networks fall into three overlapping categories: Business external / Business internal and Family & Friends. Whatever category you look at – group mobile to mobile communication potential has remained dramatically limited by either expensive call charges, incompatible operating systems or both.VENNCOMM enables unlimited...
VAYAVYA LABS|An innovative way to synthesize embedded software using tools that take in High Level Specification as inputs.  Our goal is to meet the demands of embedded product roll out there by helping to cut down the COST, EFFORT and TIME involved in software design and development.
V3 Systems|V3 Systems is the thought and technology leader in desktop cloud management solutions in the market today. They deliver a desktop cloud computing appliance that offers the flexibility of persistent, non-persistent and hybrid pool deployment across multiple virtual stack environments such as Microsoft or VMware. Their Desktop Cloud Orchestrator is...
Uversity|Uversity is an industry leading mobile and data solutions company currently partnered with over 140 colleges & universities to improve enrollment and retention. The company helps colleges connect students with the people and information they need to have a transformative college experience through its two products, Schools App and Uchat. Over...
Ustream|Ustream provides a live interactive broadcast platform. Its platform enables to view and broadcast content, including high school sporting events and red carpet movie premieres, political events, concerts, conferences, talk shows, interactive games, and personal milestones. The company also offers advertising and digital campaign solutions;...
Usetrace|Usetrace is a web software Testing-as-a-Service designed for agile teams. They have unique technology that makes web software end-to-end testing easy to use and adopt. Usetrace participated in Startup Sauna accelerator in 2012.
UserMojo|UserMojo is a User Experience Analytics platform that takes the largely fuzzy world of User Experience and distills it down into a quantitative perspective that is actionable and easily understood.
Useful Systems|Useful is a mobile-first app for small to medium sized businesses that need to better track the jobs being done by their workers in the field. Useful replaces paper workflow with familiar-looking forms including estimates, work orders and invoices in a native iPad app. It offers accurate, real-time reports like geo-stamped timesheets and...
UseItBetter Analytics|"UseItBetter is one of the most advanced Customer Experience Analytics (CX) / Customer Experience Management (CEM) platforms on the market. It excels at scientific approach that combines qualitative (""why"") and quantitative (""how much"") analysis with experimentation at scale. Some of the enterprises that champion sales..."
Usarium|USARIUM – is peer-to-peer consumer rental on your smartphone. Key features:- Booking, payments & deposit- Digital legally binding agreement- Social graph based on mobile numbers- Transaction management by Getting Things DoneShare transactions with friends are free, commercial transactions are subject to 10% commission.It...
UsabilityTools|UsabilityTools was created by User Experience Designers fed up with web testing apps providing partial solutions. The core value of UsabilityTools is combining power of remote usability research with lean philosophy. Secondary goal of co-founders was to make usability testing affordable for every researcher either amateur or professional....
Uruut|Uruut is a low-cost, cloud-based SaaS solution that makes it easy for nonprofits to reach and secure more donors and raise more funds.At the core of the Uruut solution is an industry leading fundraising platform which has evolved online giving to become a convenient, enjoyable, and transparent online experience.In addition to the...
Arquer Diagnostics|UroSens Ltd is based at the Babraham Research Campus, Cambridge, UK, and on the North East Business and Innovation Centre, Sunderland, UK.
Urgent.ly Roadside Assistance|Urgent.ly’s Roadside as a Service™, the only global digital roadside assistance platform, continues to reimagine the roadside assistance industry to the benefit of global brands, roadside assistance professionals, and consumers. Urgent.ly’s solution delivers the quickest, safest and most innovative roadside assistance service, products and...
UrbanBound|UrbanBound is the smartest and easiest way for employers to manage employee relocation benefits online. Through software and policy guidance, UrbanBound has been helping Fortune 500 companies and fast-growing start-ups offer competitive relocation benefits regardless of their size and budget. Plus, robust reporting tools offer unparalleled...
UpCloo|UpCloo is a fully hosted and cloud based service born to help websites rich in content to get a more valuable traffic, monetize the back catalogue and increase pageviews.UpCloo analyzes news, articles, reviews and products published on the website, creates most relevant correlations showing links to the visitors: the users stay more on the...
Up My Game|Elite coaching is not just for elite athletes anymore.Up My Game is an app connecting athletes, regardless of sport or competitive level, with elite coaches from their respective sport to share, review, and analyze video of their skills and techniques to improve training, performances, and results.
Unyqe|Unyqe is producing a portfolio of unique mobile apps. They focus on a niche in the market that has not yet been exploited. Their strategy is to create a repeatable revenue model through strategic marketing and their home grown software called SUMS!
Unsilo|Unsilo is a collaborative search and discovery platform that helps you see patterns across science and innovation. Our sophisticated semantic-based search engine breaks down silos of information and makes it easy and fast to find relevant knowledge across different content sources hidden in domain-specific terminology.Searching with Unsilo,...
Unkasoft Advergaming|Unkasoft is a technology company that has developed injection technology for software applications. Unkasoft is the worldwide leader in mobile advergaming. Unkasoft has developed a technology to inject any kind of advertisement inside in any mobile application without technical knowledge. Advertising Agencies, Mobile Marketing Agencies, Mobile...
United Parents Online Ltd|United Parents is a security software developer with a mission to alert parents whenever their children are getting involved in a potentially dangerous online relationship with online predators and cyber-bullying. United Parents also offers an efficient and effective automated moderation to social network sites that own chat environment that...
Union Bay Networks|Union Bay Networks is focused on delivering solutions that will enable the next generation of networking for cloud computing and software defined datacenters. Union Bay Networks is a stealth mode startup headquartered in Seattle, WA and backed by leading VCs: Madrona, Greylock and Divergent. Union Bay was founded by a team of industry...
Unified|Unified helps marketers make informed and impactful decisions with the industry’s only business intelligence platform purposely designed for social advertising. With experience collecting and enriching over 1 billion dollars of social investment data, Unified is passionate about providing Fortune 2000 brands and agencies greater transparency into...
Unfold|Unfold is flattening the playing field for policy change.  We are the comprehensive toolkit for corporations, advocacy groups, and trade associations to maximize effectiveness and impact in government relations. We determine what bills to track, which legislator to contact, and who are the influencers.Unfold is bringing predictive analytics and...
UnLtdWorld|UnLtdWorld is an online platform that connects social entrepreneurs to the people, information and tools that they need to change the world.UnLtdWorld provides social entrepreneurs with indispensible connections, information and insight. UnLtdWorld is the starting point for all those that operate in the social entrepreneurship market.
Umoove|Umoove created a face and eye-tracking solution that is compatible with any smartphone or tablet with a front facing camera. Umoove's technology does not require any additional hardware of any kind. Umoove develops in-house medical applications and, at the same time, is powering eye tracking research in top universities across the world....
UmBio|UmBio AB is a leading player in multivariate image analysis and they are known to provide a broad range of hardware and software products within this field. UmBio is based in Sweden and current customers include Merck, Danisco, Mirka, NeuroSearch, Pfizer, VTT and Arla.UmBio Evince Image, the company's multivariate image analysis...
Ultromex|Ultromex Ltd, a Birkenhead, UK-based company that has developed processes for the recovery of high-value metals from electronic and industrial waste products.
UltraSoC Technologies|UltraSoC Technologies is an independent provider of SoC infrastructure to enable rapid development of embedded systems based on advanced SoC devices. Its head office is in Cambridge and it has research and development labs in Colchester.
Ubiquitous Energy|Ubiquitous Energy, the leader in transparent solar technology, is a Silicon Valley company developing the world’s first truly transparent solar technology. Originally spun out from the Massachusetts Institute of Technology, Ubiquitous Energy is implementing its award-winning ClearView Power technology into a wide range of products as an invisible,...
Ubiquigent|Ubiquigent Limited is a specialist developer and supplier of high quality reagents, kits and drug discovery assay development and compound profiling services to the life science research community worldwide.Ubiquigent's scientific and business interests have a clear focus; namely the ubiquitin, ubiquitin-like and integrated signalling...
Grape|"Grape is a business communication solution with deep service integration to make all data from your cloud services available to your team right as you type.TechCrunch dubs Grape as ""look-up and third-party service indexing provides that rare example of a feature that, retrospectively, you wonder why isn’t already a standard offering.""
"
UXCam|UXCam is a tool for gathering and analyzing user experience data. UXCam - All-in-one UX optimization tool.
UReserv|UReserv is a cloud-based reservation and table management system for restaurants.  It was designed to offer operators an easy, efficient and affordable way to handle all of their online reservation and guest management needs.  The platform can be accessed by any web-enabled device (PC, Mac, notebook, smartphone or tablet) and gives restaurant...
U4EA Networks|"U4EA Networks, Inc. is developing a RIA (Rich Internet Application) and Network Software for social networking and e-commerce, creating a social network platform called ""The MonkeyBusinessâ„¢ Network.""The MonkeyBusinessâ„¢ Network adds a missing element to typical e-commerce; it integrates the social aspect of business that exists in..."
Tyrogenex|Tyrogenex, Inc., a biotechnology company, engages in research and development of multi-kinase angiogenesis inhibitor for the treatment of solid tumors. The company has developed a novel, patented cancer therapeutic, X-82, a dual VEGFR/PDGFR inhibitor. The company was formerly known as Xcovery, Inc. The company was incorporated in 2006 and is...
Twoodo|People today suffer from the chaos of online collaboration tools. We have one tool for email, one for chat, one for calendars, one for managing tasks and one for notes. All these tools require typing in information. So why do we use so many tools for the same activity?Twoodo solves this pain. Using simple tags (just like on Twitter) our...
Twitt2Go|Twitt2Go is a web system that allows Twitter users to order home of your favorite restaurants. It is a Mexican company dedicated to the delivery of food via Twitter.
Twingly|Twingly is a data mining company from Linköping that was founded in 2006. We focus on indexing blogs and strive towards the best coverage, quality and support of mainly European languages. Today we are indexing 75+ million blogs from all over the world. Apart from the data mining business we also provide companies with solutions to find relevant...
Twilio|Twilio, the developer platform for communications, is reinventing telecom by merging the worlds of cloud computing, web services and telecommunications. With Twilio, developers and businesses make communications more contextual by embedding voice, video, messaging, and authentication directly into  applications. Businesses such as Uber, Box,...
TwentyPeople|TwentyPeople is a London-based, rapid-prototyping and digital design company. We create minimum viable products and push the most successful concepts out into the world. Most notably, we made:FRUJI (fruji.com): Professional Twitter Analytics ServiceBUFFERGRAM (buffergram.com): Instagram Scheduler and Web PostingMEDIUMSOUNDS...
Everwall|Tweetwall is a completely real-time solution for displaying Tweets at an event.As the first commercial provider of Tweetwalls (since 2008), Tweetwall has led the industry in features and usability.  Their leaderboards increase event engagement, their full moderation and filter based moderation make it easy to make sure your Tweetwall is only...
TweetDeck|TweetDeck is a Twitter client for desktop, web, and mobile devices.TweetDeck was originally an Adobe Air desktop application, designed with a unique columned user interface. Its goal was to be a realtime application that allowed users to monitor that information in a single concise view. TweetDeck integrated services from Twitter, Twitscoop,...
Tweekaboo|Tweekaboo makes it easy for busy parents to remember and share family moments, privately. If you are a parent who feels their kids are growing up too fast, who in spite of having thousands of photos and videos of your kids spread across multiple platforms still can't remember what your kids did last week and who has resorted to email and...
Tutellus|Tutellus.com is the Collaborative Platform for Education in latin countries. Tutellus.io is the evolution of Tutellus.com, it's a decentraliced EdTech platform based on the Ethereum Blockchain, and we pay users for learning: the more you learn, the more money you get and the more relevant you become in the Community.
Tutamee|Tutamee is building an opinion community focused on discussing what the best of anything is. For example, what is the best hotel in New York? On the platform, people come to share, discuss, vote and debate on intriguing questions posted by the community about what the best of anything is. The questions are prefixed with â€œwhat is the bestâ€...
Turned On Digital|Turned On Digital is a full service mobile apps development agency based in London and Manchester, UK. Since 2009, their clients have included ITN, Channel 4, SamFry and Harper Collins and their projects have been featured by the BBC, the Guardian, WIRED and Fast Company amongst many others.Situationist and TubeTap apps have been Turned On...
Tulip Retail|Tulip Retail is the world’s first cloud-based retail platform built exclusively for store associates. It was founded in 2013 by a team of mobile and e-commerce experts who are passionate about shaping the future in-store experience. Dedicated to store associate empowerment, Tulip is bringing the best of online shopping to the selling floor with an...
Tuee|Tuee is a guest relationship management (GRM) tool used by service-based businesses like restaurants to improve retention marketing and operational proficiency. Tuee uses a tablet system to capture experiential and contact data from 80% of guests at the point of sale. Tuee then uses that data to send instant operational alerts, personalize email...
Tubular Labs|Tubular is the leading global video measurement and analytics platform that powers broadcasters, publishers, and brands to create successful content and scale audiences faster. We provide the most complete picture of what video consumers watch and enable companies to grow digital audiences and sell brand integrations to win in the ever evolving...
Tubing Operations for Humanitarian Logistics (TOHL)|TOHL is mobilizing the globe through providing innovative fluid transport infrastructure solutions for a variety of industrial & humanitarian applications. TOHL uses patent-pending techniques for installing pipelines in significantly longer segments than conventional installation methods.
Tube2Tone|Tube2Tone converts videos to Ringtones. It is a simple intuitive online tool that requires no download. Simply select the video you like, record a Ringtone and send/email it to your phone.
Tubaloo|Tubaloo provides free worldwide calling. The flagship product is the Tubaloo app for the Android.The service works from any phone via a network of local access numbers, but its flagship product is a VoIP application for Android mobile phones which is capable of routing calls to the public network via either WiFi or 3G connections from mobile...
Trustlook|Trustlook (www.trustlook.com) is a global leader in next-generation cybersecurity products based on artificial intelligence. Their innovative SECUREai engine delivers the performance and scalability needed to provide total threat protection against malware and other forms of attack. Trustlook's solutions protect users from both known and...
Trustifi|"Trustifi is an email visibility and security company providing a SaaS solution that protects businesses from email vulnerabilities and compliance risks.
Basic email is extremely vulnerable to being breached because cybercriminals are always looking to steal private and Personally Identifiable Information (PII). As stolen data is worth a lot of..."
TrustCloud|TrustCloud gives members in the Sharing Economy the tools for Trust and Accountability that enable better decision-making and improves every transaction. They measure consumers' virtuous online behaviors and transactions to build a portable TrustScore they can easily use within the Sharing Economy.
TrueAbility|TrueAbility is an advanced platform for delivering skills based assessment for the 21st-century workforce. Important to the classroom and workplace, TrueAbility provides solutions built upon performance-based technology, bridging a gap for both end-users and the entities measuring their skill by providing the most accurate and comprehensive...
Trudev|Trudev is a team of MIT and Harvard graduates who have developed both a portable, affordable, microbial drinking water test and chemical purification system. We aim to take advantage of existing distribution networks by selling our products to universities, local NGOs and larger intergovernmental agencies that execute rural water projects.
Truckily|Truckily is connecting Food Trucks to customers like no other app has before. Currently in Private Beta.
Troppus Software, an EchoStar Corporation|Symbi® Get Connected. Stay Connected.Symbi’s web-based self-service helps home network users with Internet connection setup and configuration. Stay connected and become more tech savvy with our extensive library of self-help articles. Web self-service benefits to consumers include:Convenience – find answers any time of day or night, from...
Trist|Trist provides specific, real-time location insights through foot traffic and demographic analytics.  These analytics identify specific marketing and advertising opportunities that allow our clients to run more targeted and efficient campaigns. Our mobile application enables our users to update our data sets with real-time information, making our...
Trippifi|Trippifi.com - people going places Trippifi is a social travel community (website and mobile apps) connecting like-minded people who will be in the same place at the same time.Trippifi is a travel forum, destination based social network and chat app who’s mission is to enhance users travel experiences by making them more social.By...
Trinity-Noble|Trinity-Noble is an award-winning company that has proprietary technology for the detection and prevention of distracted driving due to dangerous cell phone use by drivers.Trinity-Noble has been focusing on developing and patenting solutions for the prevention of distracted driving since 2001. Our combined 75 years of experience in Business,...
RoboVM AB|RoboVM lets developers create truly native iOS apps in Java and other JVM languages.
Triggerfox Corporation|Triggerfox is the mobile address book for busy professionals. It uses your calendar, email, and social media accounts to build rich profiles for everyone in your contacts list. Triggerfox helps you build better relationships with the people who matter most to your personal and business network. The best ‘relationship builders’ make it a habit to...
Trigence|Trigence Corp. offers application virtualization solutions for the data centers in Canada and internationally. The company provides Trigence AE software, which encapsulates applications at a level above the operating system and creates Application Capsules, which turn applications into a discrete object to create a virtualized environment, where...
Tricycle|Tricycle, Inc. is a SaaS company founded to reduce petroleum use and landfill waste in the commercial carpet industry. The company's technology product Tryk™, a sampling tool for carpet specification digitally combines yarn, machine, and design information to produce realistic carpet images. It serves commercial interiors manufacturers,...
Intrinio|Intrinio's mission is to help investors save money and make time so they can live more meaningful lives. We believe investors waste time on data collection, data entry, and data analysis because traditional financial data providers stifle innovation through high prices and restrictive technology. The Intrinio Fintech marketplace solves this...
Treventis|TREVENTIS™ Corporation is an early stage biotechnology company focused on diseases associated with protein misfolding such as Alzheimer’s, Parkinson’s and Huntington’s.  Currently, the Company has two major areas of discovery and development including: (1) the development of drugs that halt Alzheimer’s disease (and other dementias) progression with...
Tresata|Tresata develops software platform for real-time customer intelligence management. Its software enables businesses to monetize customer data by collecting, curating, computing, and converting it to customer intelligence across all existing and growing data assets and at a segment of one. Tresata's products include OPTIMUS, TREK, TREE, ORION,...
Trellie|Trellie Inc. makes innovative consumer electronics that ensure people are better connected to increase communication, happiness and peace of mind. The name Trellie is derived from two words which translate to “be connected”. The company’s initial focus is on providing mothers added insurance that they will not miss important calls from people who...
Treeveo|"Treeveo is a web-based project execution platform that reduces the complexity surrounding strategic projects. Using Treeveo reduces the time spent on managing a project and accelerates project results. At Treeveo, we believe everyone should have the chance to lead. Treeveo helps cultivate leadership among managers and ""common""..."
Treehouse|Treehouse is an online technology school that offers beginner to advanced courses in web design, web development, mobile development and game development taught by a team of expert teachers. Its courses are aimed at beginners looking to learn coding skills and embark on a career in the tech industry.In May 2016, Treehouse launched the...
Treasure Valley Urology Services|Treasure Valley Urology Services LLC operates in the healthcare sector. The company was incorporated in 2004 and is based in Austin, Texas. Treasure Valley Urology Services LLC operates as a subsidiary of HealthTronics, Inc.
Treasure Valley Urology Services|Treasure Valley Urology Services LLC operates in the healthcare sector. The company was incorporated in 2004 and is based in Austin, Texas. Treasure Valley Urology Services LLC operates as a subsidiary of HealthTronics, Inc.
Treasure Valley Surgery Center|Treasure Valley Surgery Center was created for the convenience of the patient with high quality and efficient service. Our experienced staff provides reassurance, personal attention, and top quality care to all patients and families!The Treasure Valley Surgery Center is a member of Surgical Care Affiliates (SCA), one of the largest outpatient...
TrashOut.NGO|Showing how important recycling is. We shine a light on social problems by geotagging illegal dumps and teach people how to recycle.
Trash Backwards|A mobile app to help citizens and organizations get closer to zero waste.
Transinsight|Think the impossible... Develop Intelligent Search Technologies for the Life Sciences and Beyond.Transinsight is a German based company providing solutions for knowledge based search. The award winning company works in close collaboration with the bioinformatics group of the Technical University Dresden. Transinsight and the bioinformatics...
Transcriptic|"Transcriptic is a new kind of scientific outsourcing provider. By expressing life science methods as data, infrastructure virtualization will become possible. ""Science-as-a-Service"" will power the next generation of discovery, driven by huge efficiencies of both time and money.Transcriptic was founded in 2012 to create a better way to..."
